year,compare_last_year_price,compare_1978_price
1978,100.5,100
1979,100.9,100.9
1980,105.9,106.8531
1981,101.4,108.3490434
1982,100.3,108.6740905
1983,100.2,108.8914387
1984,102.2,111.2870504
1985,115.2,128.202682
1986,106.3,136.279451
1987,108.1,147.3180865
1988,120.1,176.9290219
1989,115.9,205.0607364
1990,106.3,217.9795628
1991,110.5,240.8674169
1992,110,264.9541586
1993,120.2,318.4748986
1994,123.9,394.5903994
1995,118.7,468.378804
1996,109.2,511.469654
1997,102.8,525.7908043
1998,100,525.7908043
1999,101.5,533.6776664
2000,102.5,547.019608
2001,100.0006,547.0228902
2002,100.4978,549.7459701
2003,100.0664,550.1110014
2004,102.1517,561.9477398
2005,100.9558,567.3188363
2006,101.2144933,574.2088855
2007,103.1500753,592.2968979
2008,105.7825653,626.5468529
2009,99.59211144,623.99124
2010,103.1056174,643.3700203
2011,105.177244,676.6788561
2012,102.8344176,695.8587607
2013,102.2981085,711.8503501
2014,102.6521376,730.7296012
2015,102.4191273,748.4068807
2016,103.2312461,772.589749
