数据库：年度数据
时间：最近20年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年
国民总收入(亿元),824828.4,740598.7,686449.6,644791.1,590422.4,539116.5,484753.2,411265.2,348498.5,321500.5,270844.0,219028.5,185998.9,161415.4,136576.3,120480.4,109276.2,99066.1,89366.5,83817.6
国内生产总值(亿元),827121.7,743585.5,689052.1,643974.0,595244.4,540367.4,489300.6,413030.3,349081.4,319515.5,270232.3,219438.5,187318.9,161840.2,137422.0,121717.4,110863.1,100280.1,90564.4,85195.5
第一产业增加值(亿元),65467.6,63672.8,60862.1,58343.5,55329.1,50902.3,46163.1,39362.6,34161.8,32753.2,27788.0,23317.0,21806.7,20904.3,16970.2,16190.2,15502.5,14717.4,14549.0,14618.7
第二产业增加值(亿元),334622.6,296547.7,282040.3,277571.8,261956.1,244643.3,227038.8,191629.8,160171.7,149956.6,126633.6,104361.8,88084.4,74286.9,62697.4,54105.5,49660.7,45664.8,41080.9,39018.5
第三产业增加值(亿元),427031.5,383365.0,346149.7,308058.6,277959.3,244821.9,216098.6,182038.0,154747.9,136805.8,115810.7,91759.7,77427.8,66648.9,57754.4,51421.7,45700.0,39897.9,34934.5,31558.3
人均国内生产总值(元),59660,53935,50251,47203,43852,40007,36403,30876,26222,24121,20505,16738,14368,12487,10666,9506,8717,7942,7229,6860
注：1.1980年以后国民总收入与国内生产总值的差额为国外净要素收入。
　　　2.三次产业分类依据国家统计局2012年制定的《三次产业划分规定》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔服务业）；第二产业是指采矿业（不含开采辅助活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.按照我国国内生产总值（GDP）数据修订制度和国际通行作法，在实施研发支出核算方法改革后，对以前年度的GDP历史数据进行了系统修订。
数据来源：国家统计局
